content,cleaning,case_folding,hasil_normalisasi,token,stopword_removal,stemming
praktis dan sangat membantu.,praktis dan sangat membantu ,praktis dan sangat membantu ,praktis dan sangat membantu,"['praktis', 'dan', 'sangat', 'membantu']","['praktis', 'membantu']",praktis bantu
sangat memuaskan pelanggan,sangat memuaskan pelanggan,sangat memuaskan pelanggan,sangat memuaskan pelanggan,"['sangat', 'memuaskan', 'pelanggan']","['memuaskan', 'pelanggan']",muas langgan
sekarang kalo mau book tiket kereta ga perlu ribet tinggal buka traveloka aja. pokoknya don't worry no rugi 👍👍👍,sekarang kalo mau book tiket kereta ga perlu ribet tinggal buka traveloka aja  pokoknya don t worry no rugi ,sekarang kalo mau book tiket kereta ga perlu ribet tinggal buka traveloka aja  pokoknya don t worry no rugi ,sekarang kalau mau book tiket kereta tidak perlu ribet tinggal buka traveloka saja pokoknya don t worry no rugi,"['sekarang', 'kalau', 'mau', 'book', 'tiket', 'kereta', 'tidak', 'perlu', 'ribet', 'tinggal', 'buka', 'traveloka', 'saja', 'pokoknya', 'don', 't', 'worry', 'no', 'rugi']","['book', 'tiket', 'kereta', 'ribet', 'tinggal', 'buka', 'traveloka', 'pokoknya', 'don', 't', 'worry', 'no', 'rugi']",book tiket kereta ribet tinggal buka traveloka pokok don t worry no rugi
"Sekali coba Traveloka, nggak pengen balik ke aplikasi lain. Kepuasan maksimal.",Sekali coba Traveloka  nggak pengen balik ke aplikasi lain  Kepuasan maksimal ,sekali coba traveloka  nggak pengen balik ke aplikasi lain  kepuasan maksimal ,sekali coba traveloka tidak pengin balik ke aplikasi lain kepuasan maksimal,"['sekali', 'coba', 'traveloka', 'tidak', 'pengin', 'balik', 'ke', 'aplikasi', 'lain', 'kepuasan', 'maksimal']","['coba', 'traveloka', 'pengin', 'aplikasi', 'kepuasan', 'maksimal']",coba traveloka pengin aplikasi puas maksimal
biaya service lumayan,biaya service lumayan,biaya service lumayan,biaya service lumayan,"['biaya', 'service', 'lumayan']","['biaya', 'service', 'lumayan']",biaya service lumayan
"Traveloka bikin semua jenis traveler merasa nyaman: solo, keluarga, bahkan backpacker.",Traveloka bikin semua jenis traveler merasa nyaman  solo  keluarga  bahkan backpacker ,traveloka bikin semua jenis traveler merasa nyaman  solo  keluarga  bahkan backpacker ,traveloka bikin semua jenis traveler merasa nyaman solo keluarga bahkan backpacker,"['traveloka', 'bikin', 'semua', 'jenis', 'traveler', 'merasa', 'nyaman', 'solo', 'keluarga', 'bahkan', 'backpacker']","['traveloka', 'bikin', 'jenis', 'traveler', 'nyaman', 'solo', 'keluarga', 'backpacker']",traveloka bikin jenis traveler nyaman solo keluarga backpacker
mudah dan cepat.,mudah dan cepat ,mudah dan cepat ,mudah dan cepat,"['mudah', 'dan', 'cepat']","['mudah', 'cepat']",mudah cepat
Booking dari luar negeri tetap lancar pakai Traveloka. Bisa andalin di mana pun.,Booking dari luar negeri tetap lancar pakai Traveloka  Bisa andalin di mana pun ,booking dari luar negeri tetap lancar pakai traveloka  bisa andalin di mana pun ,booking dari luar negeri tetap lancar pakai traveloka bisa andalin di mana pun,"['booking', 'dari', 'luar', 'negeri', 'tetap', 'lancar', 'pakai', 'traveloka', 'bisa', 'andalin', 'di', 'mana', 'pun']","['booking', 'negeri', 'lancar', 'pakai', 'traveloka', 'andalin']",booking negeri lancar pakai traveloka andalin
"salah satu yang saya suka dari traveloka adalah pelayanannya, handling masalah kekeliruan pesanan dari customer ditangani dgn baik sama CS. ini sih yang paling penting, pelanggan jadi engga lari pindah ke lain hati. sorry lebay dikit wkwk",salah satu yang saya suka dari traveloka adalah pelayanannya  handling masalah kekeliruan pesanan dari customer ditangani dgn baik sama CS  ini sih yang paling penting  pelanggan jadi engga lari pindah ke lain hati  sorry lebay dikit wkwk,salah satu yang saya suka dari traveloka adalah pelayanannya  handling masalah kekeliruan pesanan dari customer ditangani dgn baik sama cs  ini sih yang paling penting  pelanggan jadi engga lari pindah ke lain hati  sorry lebay dikit wkwk,salah satu yang saya suka dari traveloka adalah pelayanannya handling masalah kekeliruan pesanan dari customer ditangani dengan baik sama cs ini sih yang paling penting pelanggan jadi tidak lari pindah ke lain hati sorry lebay dikit wkwk,"['salah', 'satu', 'yang', 'saya', 'suka', 'dari', 'traveloka', 'adalah', 'pelayanannya', 'handling', 'masalah', 'kekeliruan', 'pesanan', 'dari', 'customer', 'ditangani', 'dengan', 'baik', 'sama', 'cs', 'ini', 'sih', 'yang', 'paling', 'penting', 'pelanggan', 'jadi', 'tidak', 'lari', 'pindah', 'ke', 'lain', 'hati', 'sorry', 'lebay', 'dikit', 'wkwk']","['salah', 'suka', 'traveloka', 'pelayanannya', 'handling', 'kekeliruan', 'pesanan', 'customer', 'ditangani', 'cs', 'sih', 'pelanggan', 'lari', 'pindah', 'hati', 'sorry', 'lebay', 'dikit', 'wkwk']",salah suka traveloka layan handling keliru pesan customer tangan cs sih langgan lari pindah hati sorry lebay dikit wkwk
"entah kenapa sama traveloka tuh udah ngerasa kayak jodoh aja, gw ikut GA nya di twitter udah menang 2x nih wkwk mayan dikasih gift voucher nginep gratis😆",entah kenapa sama traveloka tuh udah ngerasa kayak jodoh aja  gw ikut GA nya di twitter udah menang x nih wkwk mayan dikasih gift voucher nginep gratis,entah kenapa sama traveloka tuh udah ngerasa kayak jodoh aja  gw ikut ga nya di twitter udah menang x nih wkwk mayan dikasih gift voucher nginep gratis,entah kenapa sama traveloka tuh sudah merasa kayak jodoh saja saya ikut tidak nya di twitter sudah menang kali nih wkwk lumayan dikasih gift voucher nginep gratis,"['entah', 'kenapa', 'sama', 'traveloka', 'tuh', 'sudah', 'merasa', 'kayak', 'jodoh', 'saja', 'saya', 'ikut', 'tidak', 'nya', 'di', 'twitter', 'sudah', 'menang', 'kali', 'nih', 'wkwk', 'lumayan', 'dikasih', 'gift', 'voucher', 'nginep', 'gratis']","['traveloka', 'tuh', 'kayak', 'jodoh', 'nya', 'twitter', 'menang', 'kali', 'nih', 'wkwk', 'lumayan', 'dikasih', 'gift', 'voucher', 'nginep', 'gratis']",traveloka tuh kayak jodoh nya twitter menang kali nih wkwk lumayan kasih gift voucher nginep gratis
"Baru banget kemarin ngerefund tiket rute jkt-srg, 2x reschedule, yang pertama diundur ke hari besoknya, dan yang kedua diundur lagi ke flight malam. Karna banyak ketidakpastian mungkin dari pihak maskapai ya akhirnya refund aja. untungnya CS traveloka responsif bantu prosesnya, semoga masuk uangnya cepet 🙏🏻",Baru banget kemarin ngerefund tiket rute jkt srg  x reschedule  yang pertama diundur ke hari besoknya  dan yang kedua diundur lagi ke flight malam  Karna banyak ketidakpastian mungkin dari pihak maskapai ya akhirnya refund aja  untungnya CS traveloka responsif bantu prosesnya  semoga masuk uangnya cepet ,baru banget kemarin ngerefund tiket rute jkt srg  x reschedule  yang pertama diundur ke hari besoknya  dan yang kedua diundur lagi ke flight malam  karna banyak ketidakpastian mungkin dari pihak maskapai ya akhirnya refund aja  untungnya cs traveloka responsif bantu prosesnya  semoga masuk uangnya cepet ,baru banget kemarin ngerefund tiket rute jakarta srg kali reschedule yang pertama diundur ke hari besoknya dan yang kedua diundur lagi ke flight malam karena banyak ketidakpastian mungkin dari pihak maskapai ya akhirnya refund saja untungnya cs traveloka responsif bantu prosesnya semoga masuk uangnya cepat,"['baru', 'banget', 'kemarin', 'ngerefund', 'tiket', 'rute', 'jakarta', 'srg', 'kali', 'reschedule', 'yang', 'pertama', 'diundur', 'ke', 'hari', 'besoknya', 'dan', 'yang', 'kedua', 'diundur', 'lagi', 'ke', 'flight', 'malam', 'karena', 'banyak', 'ketidakpastian', 'mungkin', 'dari', 'pihak', 'maskapai', 'ya', 'akhirnya', 'refund', 'saja', 'untungnya', 'cs', 'traveloka', 'responsif', 'bantu', 'prosesnya', 'semoga', 'masuk', 'uangnya', 'cepat']","['banget', 'kemarin', 'ngerefund', 'tiket', 'rute', 'jakarta', 'srg', 'kali', 'reschedule', 'diundur', 'besoknya', 'diundur', 'flight', 'malam', 'ketidakpastian', 'maskapai', 'ya', 'refund', 'untungnya', 'cs', 'traveloka', 'responsif', 'bantu', 'prosesnya', 'semoga', 'masuk', 'uangnya', 'cepat']",banget kemarin ngerefund tiket rute jakarta srg kali reschedule undur besok undur flight malam ketidakpastian maskapai ya refund untung cs traveloka responsif bantu proses moga masuk uang cepat
"Beli tiket bus dan shuttle mudah anti ribet guys, dan kadang ada aja dapet promonya. Ini ngebantu bgt buat orang yg ga sempet beli di offline kayak gue",Beli tiket bus dan shuttle mudah anti ribet guys  dan kadang ada aja dapet promonya  Ini ngebantu bgt buat orang yg ga sempet beli di offline kayak gue,beli tiket bus dan shuttle mudah anti ribet guys  dan kadang ada aja dapet promonya  ini ngebantu bgt buat orang yg ga sempet beli di offline kayak gue,beli tiket bus dan shuttle mudah anti ribet guys dan kadang ada saja dapat promonya ini membantu banget buat orang yang tidak sempat beli di offline kayak gue,"['beli', 'tiket', 'bus', 'dan', 'shuttle', 'mudah', 'anti', 'ribet', 'guys', 'dan', 'kadang', 'ada', 'saja', 'dapat', 'promonya', 'ini', 'membantu', 'banget', 'buat', 'orang', 'yang', 'tidak', 'sempat', 'beli', 'di', 'offline', 'kayak', 'gue']","['beli', 'tiket', 'bus', 'shuttle', 'mudah', 'anti', 'ribet', 'guys', 'kadang', 'promonya', 'membantu', 'banget', 'orang', 'beli', 'offline', 'kayak', 'gue']",beli tiket bus shuttle mudah anti ribet guys kadang promonya bantu banget orang beli offline kayak gue
mantep bener liburan pake promo traveloka + kode kupon bener bener paket hemat,mantep bener liburan pake promo traveloka   kode kupon bener bener paket hemat,mantep bener liburan pake promo traveloka   kode kupon bener bener paket hemat,mantap benar liburan pakai promo traveloka kode kupon benar benar paket hemat,"['mantap', 'benar', 'liburan', 'pakai', 'promo', 'traveloka', 'kode', 'kupon', 'benar', 'benar', 'paket', 'hemat']","['mantap', 'liburan', 'pakai', 'promo', 'traveloka', 'kode', 'kupon', 'paket', 'hemat']",mantap libur pakai promo traveloka kode kupon paket hemat
"Mudik kemarin karena harga pesawat agak mahal dari biasanya, jadi mutusin pake keretaan aja terus belinya di traveloka, biar lebih nyaman pilih kelas yang suite compartment jadi lebih privasi wkwkw fasilitasnya juga mantap jiwaaa",Mudik kemarin karena harga pesawat agak mahal dari biasanya  jadi mutusin pake keretaan aja terus belinya di traveloka  biar lebih nyaman pilih kelas yang suite compartment jadi lebih privasi wkwkw fasilitasnya juga mantap jiwaaa,mudik kemarin karena harga pesawat agak mahal dari biasanya  jadi mutusin pake keretaan aja terus belinya di traveloka  biar lebih nyaman pilih kelas yang suite compartment jadi lebih privasi wkwkw fasilitasnya juga mantap jiwaaa,mudik kemarin karena harga pesawat agak mahal dari biasanya jadi memutuskan pakai keretaan saja terus belinya di traveloka biar lebih nyaman pilih kelas yang suite compartment jadi lebih privasi wkwkw fasilitasnya juga mantap jiwaaa,"['mudik', 'kemarin', 'karena', 'harga', 'pesawat', 'agak', 'mahal', 'dari', 'biasanya', 'jadi', 'memutuskan', 'pakai', 'keretaan', 'saja', 'terus', 'belinya', 'di', 'traveloka', 'biar', 'lebih', 'nyaman', 'pilih', 'kelas', 'yang', 'suite', 'compartment', 'jadi', 'lebih', 'privasi', 'wkwkw', 'fasilitasnya', 'juga', 'mantap', 'jiwaaa']","['mudik', 'kemarin', 'harga', 'pesawat', 'mahal', 'memutuskan', 'pakai', 'keretaan', 'belinya', 'traveloka', 'biar', 'nyaman', 'pilih', 'kelas', 'suite', 'compartment', 'privasi', 'wkwkw', 'fasilitasnya', 'mantap', 'jiwaaa']",mudik kemarin harga pesawat mahal putus pakai kereta beli traveloka biar nyaman pilih kelas suite compartment privasi wkwkw fasilitas mantap jiwaaa
"cuma di sini gue sering dapet promo pake kode kupon diskon, di sebalah zonk mulu heran juga.",cuma di sini gue sering dapet promo pake kode kupon diskon  di sebalah zonk mulu heran juga ,cuma di sini gue sering dapet promo pake kode kupon diskon  di sebalah zonk mulu heran juga ,cuma di sini gue sering dapat promo pakai kode kupon diskon di sebalah zonk mulu heran juga,"['cuma', 'di', 'sini', 'gue', 'sering', 'dapat', 'promo', 'pakai', 'kode', 'kupon', 'diskon', 'di', 'sebalah', 'zonk', 'mulu', 'heran', 'juga']","['gue', 'promo', 'pakai', 'kode', 'kupon', 'diskon', 'sebalah', 'zonk', 'mulu', 'heran']",gue promo pakai kode kupon diskon seba zonk mulu heran
Harga tiket pesawat lebih murah disini,Harga tiket pesawat lebih murah disini,harga tiket pesawat lebih murah disini,harga tiket pesawat lebih murah disini,"['harga', 'tiket', 'pesawat', 'lebih', 'murah', 'disini']","['harga', 'tiket', 'pesawat', 'murah']",harga tiket pesawat murah
"Terimakasih pesanan saya kemarin bisa dibatalkan, proses cukup mudah, CS nya juga informatif lgsg dikasih opsi mau tetep di hotel yg sama atau dicariin hotel pengganti sesuai dengan jadwal yg saya atur ulang.",Terimakasih pesanan saya kemarin bisa dibatalkan  proses cukup mudah  CS nya juga informatif lgsg dikasih opsi mau tetep di hotel yg sama atau dicariin hotel pengganti sesuai dengan jadwal yg saya atur ulang ,terimakasih pesanan saya kemarin bisa dibatalkan  proses cukup mudah  cs nya juga informatif lgsg dikasih opsi mau tetep di hotel yg sama atau dicariin hotel pengganti sesuai dengan jadwal yg saya atur ulang ,terima kasih pesanan saya kemarin bisa dibatalkan proses cukup mudah cs nya juga informatif langsung dikasih opsi mau tetap di hotel yang sama atau dicariin hotel pengganti sesuai dengan jadwal yang saya atur ulang,"['terima', 'kasih', 'pesanan', 'saya', 'kemarin', 'bisa', 'dibatalkan', 'proses', 'cukup', 'mudah', 'cs', 'nya', 'juga', 'informatif', 'langsung', 'dikasih', 'opsi', 'mau', 'tetap', 'di', 'hotel', 'yang', 'sama', 'atau', 'dicariin', 'hotel', 'pengganti', 'sesuai', 'dengan', 'jadwal', 'yang', 'saya', 'atur', 'ulang']","['terima', 'kasih', 'pesanan', 'kemarin', 'dibatalkan', 'proses', 'mudah', 'cs', 'nya', 'informatif', 'langsung', 'dikasih', 'opsi', 'hotel', 'dicariin', 'hotel', 'pengganti', 'sesuai', 'jadwal', 'atur', 'ulang']",terima kasih pesan kemarin batal proses mudah cs nya informatif langsung kasih opsi hotel dicariin hotel ganti sesuai jadwal atur ulang
"Kalau ada temen nanya soal booking hotel atau tiket, pasti gue rekomendasiin Traveloka duluan!",Kalau ada temen nanya soal booking hotel atau tiket  pasti gue rekomendasiin Traveloka duluan ,kalau ada temen nanya soal booking hotel atau tiket  pasti gue rekomendasiin traveloka duluan ,kalau ada teman bertanya soal booking hotel atau tiket pasti gue rekomendasikan traveloka duluan,"['kalau', 'ada', 'teman', 'bertanya', 'soal', 'booking', 'hotel', 'atau', 'tiket', 'pasti', 'gue', 'rekomendasikan', 'traveloka', 'duluan']","['teman', 'booking', 'hotel', 'tiket', 'gue', 'rekomendasikan', 'traveloka', 'duluan']",teman booking hotel tiket gue rekomendasi traveloka duluan
"Hotel partner-nya Traveloka tuh nggak sembarangan, kualitasnya terjamin banget.",Hotel partner nya Traveloka tuh nggak sembarangan  kualitasnya terjamin banget ,hotel partner nya traveloka tuh nggak sembarangan  kualitasnya terjamin banget ,hotel partner nya traveloka tuh tidak sembarangan kualitasnya terjamin banget,"['hotel', 'partner', 'nya', 'traveloka', 'tuh', 'tidak', 'sembarangan', 'kualitasnya', 'terjamin', 'banget']","['hotel', 'partner', 'nya', 'traveloka', 'tuh', 'sembarangan', 'kualitasnya', 'terjamin', 'banget']",hotel partner nya traveloka tuh sembarang kualitas jamin banget
"Fitur asuransi perjalanan Traveloka bener-bener bikin tenang, terutama pas traveling jauh.",Fitur asuransi perjalanan Traveloka bener bener bikin tenang  terutama pas traveling jauh ,fitur asuransi perjalanan traveloka bener bener bikin tenang  terutama pas traveling jauh ,fitur asuransi perjalanan traveloka benar benar bikin tenang terutama pas traveling jauh,"['fitur', 'asuransi', 'perjalanan', 'traveloka', 'benar', 'benar', 'bikin', 'tenang', 'terutama', 'pas', 'traveling', 'jauh']","['fitur', 'asuransi', 'perjalanan', 'traveloka', 'bikin', 'tenang', 'pas', 'traveling']",fitur asuransi jalan traveloka bikin tenang pas traveling
"Mudik tadi dapet diskon tiket kereta, pas balik ke jakarta lagi dapet diskon tiket kereta juga. mantap moga ada trs promonya!",Mudik tadi dapet diskon tiket kereta  pas balik ke jakarta lagi dapet diskon tiket kereta juga  mantap moga ada trs promonya ,mudik tadi dapet diskon tiket kereta  pas balik ke jakarta lagi dapet diskon tiket kereta juga  mantap moga ada trs promonya ,mudik tadi dapat diskon tiket kereta pas balik ke jakarta lagi dapat diskon tiket kereta juga mantap moga ada terus promonya,"['mudik', 'tadi', 'dapat', 'diskon', 'tiket', 'kereta', 'pas', 'balik', 'ke', 'jakarta', 'lagi', 'dapat', 'diskon', 'tiket', 'kereta', 'juga', 'mantap', 'moga', 'ada', 'terus', 'promonya']","['mudik', 'diskon', 'tiket', 'kereta', 'pas', 'jakarta', 'diskon', 'tiket', 'kereta', 'mantap', 'moga', 'promonya']",mudik diskon tiket kereta pas jakarta diskon tiket kereta mantap moga promonya
"Nginep di hotel sama keluarga kecilku selalu pesen lewat app burung biru, selain banyak diskonnya yg oke juga gak ribet pesannya. FYI.. aku beberapa kali pernah booking pas jam flash sale karna harga bisa lebih murah.",Nginep di hotel sama keluarga kecilku selalu pesen lewat app burung biru  selain banyak diskonnya yg oke juga gak ribet pesannya  FYI   aku beberapa kali pernah booking pas jam flash sale karna harga bisa lebih murah ,nginep di hotel sama keluarga kecilku selalu pesen lewat app burung biru  selain banyak diskonnya yg oke juga gak ribet pesannya  fyi   aku beberapa kali pernah booking pas jam flash sale karna harga bisa lebih murah ,nginep di hotel sama keluarga kecilku selalu pesan lewat aplikasi burung biru selain banyak diskonnya yang oke juga tidak ribet pesannya fyi aku beberapa kali pernah booking pas jam flash sale karena harga bisa lebih murah,"['nginep', 'di', 'hotel', 'sama', 'keluarga', 'kecilku', 'selalu', 'pesan', 'lewat', 'aplikasi', 'burung', 'biru', 'selain', 'banyak', 'diskonnya', 'yang', 'oke', 'juga', 'tidak', 'ribet', 'pesannya', 'fyi', 'aku', 'beberapa', 'kali', 'pernah', 'booking', 'pas', 'jam', 'flash', 'sale', 'karena', 'harga', 'bisa', 'lebih', 'murah']","['nginep', 'hotel', 'keluarga', 'kecilku', 'pesan', 'aplikasi', 'burung', 'biru', 'diskonnya', 'oke', 'ribet', 'pesannya', 'fyi', 'kali', 'booking', 'pas', 'jam', 'flash', 'sale', 'harga', 'murah']",nginep hotel keluarga kecil pesan aplikasi burung biru diskon oke ribet pesan fyi kali booking pas jam flash sale harga murah
andalan gue banget tiap mau beli tiket PP luar negeri buat nonton konser.,andalan gue banget tiap mau beli tiket PP luar negeri buat nonton konser ,andalan gue banget tiap mau beli tiket pp luar negeri buat nonton konser ,andalan gue banget tiap mau beli tiket pp luar negeri buat menonton konser,"['andalan', 'gue', 'banget', 'tiap', 'mau', 'beli', 'tiket', 'pp', 'luar', 'negeri', 'buat', 'menonton', 'konser']","['andalan', 'gue', 'banget', 'beli', 'tiket', 'pp', 'negeri', 'menonton', 'konser']",andal gue banget beli tiket pp negeri tonton konser
Sistem notifikasinya bantu banget buat ingetin jadwal atau promo menarik.,Sistem notifikasinya bantu banget buat ingetin jadwal atau promo menarik ,sistem notifikasinya bantu banget buat ingetin jadwal atau promo menarik ,sistem notifikasinya bantu banget buat mengingatkan jadwal atau promo menarik,"['sistem', 'notifikasinya', 'bantu', 'banget', 'buat', 'mengingatkan', 'jadwal', 'atau', 'promo', 'menarik']","['sistem', 'notifikasinya', 'bantu', 'banget', 'jadwal', 'promo', 'menarik']",sistem notifikasi bantu banget jadwal promo tarik
"Dulu mikirnya kalo mau booking hotel tuh ribet, ternyata lewat aplikasi kayak Traveloka gampang ya. Bisa liat review, foto, jadi tau dulu fasilitas hotelnya, layanannya, sampai tempat2 hiburan terdekat di sekitar, bahkan bisa minta early check-in segala. Kayak fleksibel banget sekarang",Dulu mikirnya kalo mau booking hotel tuh ribet  ternyata lewat aplikasi kayak Traveloka gampang ya  Bisa liat review  foto  jadi tau dulu fasilitas hotelnya  layanannya  sampai tempat hiburan terdekat di sekitar  bahkan bisa minta early check in segala  Kayak fleksibel banget sekarang,dulu mikirnya kalo mau booking hotel tuh ribet  ternyata lewat aplikasi kayak traveloka gampang ya  bisa liat review  foto  jadi tau dulu fasilitas hotelnya  layanannya  sampai tempat hiburan terdekat di sekitar  bahkan bisa minta early check in segala  kayak fleksibel banget sekarang,dulu mikirnya kalau mau booking hotel tuh ribet ternyata lewat aplikasi kayak traveloka gampang ya bisa lihat review foto jadi tau dulu fasilitas hotelnya layanannya sampai tempat hiburan terdekat di sekitar bahkan bisa meminta early check ini segala kayak fleksibel banget sekarang,"['dulu', 'mikirnya', 'kalau', 'mau', 'booking', 'hotel', 'tuh', 'ribet', 'ternyata', 'lewat', 'aplikasi', 'kayak', 'traveloka', 'gampang', 'ya', 'bisa', 'lihat', 'review', 'foto', 'jadi', 'tau', 'dulu', 'fasilitas', 'hotelnya', 'layanannya', 'sampai', 'tempat', 'hiburan', 'terdekat', 'di', 'sekitar', 'bahkan', 'bisa', 'meminta', 'early', 'check', 'ini', 'segala', 'kayak', 'fleksibel', 'banget', 'sekarang']","['mikirnya', 'booking', 'hotel', 'tuh', 'ribet', 'aplikasi', 'kayak', 'traveloka', 'gampang', 'ya', 'lihat', 'review', 'foto', 'tau', 'fasilitas', 'hotelnya', 'layanannya', 'hiburan', 'terdekat', 'early', 'check', 'kayak', 'fleksibel', 'banget']",mikirnya booking hotel tuh ribet aplikasi kayak traveloka gampang ya lihat review foto tau fasilitas hotel layan hibur dekat early check kayak fleksibel banget
Satu-satunya aplikasi travel yang nggak pernah bikin pusing. User-friendly banget!,Satu satunya aplikasi travel yang nggak pernah bikin pusing  User friendly banget ,satu satunya aplikasi travel yang nggak pernah bikin pusing  user friendly banget ,satu satunya aplikasi travel yang tidak pernah bikin pusing user friendly banget,"['satu', 'satunya', 'aplikasi', 'travel', 'yang', 'tidak', 'pernah', 'bikin', 'pusing', 'user', 'friendly', 'banget']","['satunya', 'aplikasi', 'travel', 'bikin', 'pusing', 'user', 'friendly', 'banget']",satu aplikasi travel bikin pusing user friendly banget
"Traveloka tuh udah kayak partner setia liburan, mau tiket pesawat, hotel, kereta, bus, sampe sewa mobil juga ada. Lu tinggal duduk manis semua beres tp janji ya jangan selingkuh wkwk",Traveloka tuh udah kayak partner setia liburan  mau tiket pesawat  hotel  kereta  bus  sampe sewa mobil juga ada  Lu tinggal duduk manis semua beres tp janji ya jangan selingkuh wkwk,traveloka tuh udah kayak partner setia liburan  mau tiket pesawat  hotel  kereta  bus  sampe sewa mobil juga ada  lu tinggal duduk manis semua beres tp janji ya jangan selingkuh wkwk,traveloka tuh sudah kayak partner setia liburan mau tiket pesawat hotel kereta bus sampai sewa mobil juga ada kamu tinggal duduk manis semua beres tapi janji ya jangan selingkuh wkwk,"['traveloka', 'tuh', 'sudah', 'kayak', 'partner', 'setia', 'liburan', 'mau', 'tiket', 'pesawat', 'hotel', 'kereta', 'bus', 'sampai', 'sewa', 'mobil', 'juga', 'ada', 'kamu', 'tinggal', 'duduk', 'manis', 'semua', 'beres', 'tapi', 'janji', 'ya', 'jangan', 'selingkuh', 'wkwk']","['traveloka', 'tuh', 'kayak', 'partner', 'setia', 'liburan', 'tiket', 'pesawat', 'hotel', 'kereta', 'bus', 'sewa', 'mobil', 'tinggal', 'duduk', 'manis', 'beres', 'janji', 'ya', 'selingkuh', 'wkwk']",traveloka tuh kayak partner setia libur tiket pesawat hotel kereta bus sewa mobil tinggal duduk manis beres janji ya selingkuh wkwk
Gue tim yang selalu pantengin sosmed nya karena gak mau ketinggalan info info promonya 😎,Gue tim yang selalu pantengin sosmed nya karena gak mau ketinggalan info info promonya ,gue tim yang selalu pantengin sosmed nya karena gak mau ketinggalan info info promonya ,gue tim yang selalu pantengin sosmed nya karena tidak mau ketinggalan info info promonya,"['gue', 'tim', 'yang', 'selalu', 'pantengin', 'sosmed', 'nya', 'karena', 'tidak', 'mau', 'ketinggalan', 'info', 'info', 'promonya']","['gue', 'tim', 'pantengin', 'sosmed', 'nya', 'ketinggalan', 'info', 'info', 'promonya']",gue tim pantengin sosmed nya tinggal info info promonya
Pengalaman booking hotel lewat traveloka slalu puas sih🙏🏻,Pengalaman booking hotel lewat traveloka slalu puas sih,pengalaman booking hotel lewat traveloka slalu puas sih,pengalaman booking hotel lewat traveloka selalu puas sih,"['pengalaman', 'booking', 'hotel', 'lewat', 'traveloka', 'selalu', 'puas', 'sih']","['pengalaman', 'booking', 'hotel', 'traveloka', 'puas', 'sih']",alam booking hotel traveloka puas sih
"Yang bikin jatuh cinta sama Traveloka tuh karena banyak pilihan buat metode pembayaran, yang pasti bisa paylater juga, jadi nggak harus nunggu gajian dulu buat booking liburan hehe",Yang bikin jatuh cinta sama Traveloka tuh karena banyak pilihan buat metode pembayaran  yang pasti bisa paylater juga  jadi nggak harus nunggu gajian dulu buat booking liburan hehe,yang bikin jatuh cinta sama traveloka tuh karena banyak pilihan buat metode pembayaran  yang pasti bisa paylater juga  jadi nggak harus nunggu gajian dulu buat booking liburan hehe,yang bikin jatuh cinta sama traveloka tuh karena banyak pilihan buat metode pembayaran yang pasti bisa paylater juga jadi tidak harus menunggu gajian dulu buat booking liburan hehe,"['yang', 'bikin', 'jatuh', 'cinta', 'sama', 'traveloka', 'tuh', 'karena', 'banyak', 'pilihan', 'buat', 'metode', 'pembayaran', 'yang', 'pasti', 'bisa', 'paylater', 'juga', 'jadi', 'tidak', 'harus', 'menunggu', 'gajian', 'dulu', 'buat', 'booking', 'liburan', 'hehe']","['bikin', 'jatuh', 'cinta', 'traveloka', 'tuh', 'pilihan', 'metode', 'pembayaran', 'paylater', 'menunggu', 'gajian', 'booking', 'liburan', 'hehe']",bikin jatuh cinta traveloka tuh pilih metode bayar paylater tunggu gaji booking libur hehe
menyala traveloka🔥 bener bener don't worry no rugi,menyala traveloka bener bener don t worry no rugi,menyala traveloka bener bener don t worry no rugi,menyala traveloka benar benar don t worry no rugi,"['menyala', 'traveloka', 'benar', 'benar', 'don', 't', 'worry', 'no', 'rugi']","['menyala', 'traveloka', 'don', 't', 'worry', 'no', 'rugi']",nyala traveloka don t worry no rugi
handal & terpecaya,handal   terpecaya,handal   terpecaya,handal terpecaya,"['handal', 'terpecaya']","['handal', 'terpecaya']",handal terpecaya
vila di Bandung kalo pesen lewat traveloka kenapa lebih murah trs yh??? apa ga kasian sama app sebelah🤭,vila di Bandung kalo pesen lewat traveloka kenapa lebih murah trs yh    apa ga kasian sama app sebelah,vila di bandung kalo pesen lewat traveloka kenapa lebih murah trs yh    apa ga kasian sama app sebelah,vila di bandung kalau pesan lewat traveloka kenapa lebih murah terus ya apa tidak kasihan sama aplikasi sebelah,"['vila', 'di', 'bandung', 'kalau', 'pesan', 'lewat', 'traveloka', 'kenapa', 'lebih', 'murah', 'terus', 'ya', 'apa', 'tidak', 'kasihan', 'sama', 'aplikasi', 'sebelah']","['vila', 'bandung', 'pesan', 'traveloka', 'murah', 'ya', 'kasihan', 'aplikasi', 'sebelah']",vila bandung pesan traveloka murah ya kasihan aplikasi belah
